"lag","cost","nu","gamma","corr_pred"
3,2048,0.8,0.0078125,0.675401256431443
4,2048,0.8,0.0078125,0.675401256431443
5,2048,0.8,0.0078125,0.675401256431443
1,1024,0.8,0.0078125,0.67519667321646
2,1024,0.8,0.0078125,0.67519667321646
3,1024,0.8,0.0078125,0.67519667321646
4,1024,0.8,0.0078125,0.67519667321646
5,1024,0.8,0.0078125,0.67519667321646
1,4096,0.6,0.015625,0.675167703820973
2,4096,0.6,0.015625,0.675167703820973
3,4096,0.6,0.015625,0.675167703820973
4,4096,0.6,0.015625,0.675167703820973
5,4096,0.6,0.015625,0.675167703820973
1,2048,0.6,0.015625,0.675073628708733
2,2048,0.6,0.015625,0.675073628708733
3,2048,0.6,0.015625,0.675073628708733
4,2048,0.6,0.015625,0.675073628708733
5,2048,0.6,0.015625,0.675073628708733
1,8192,0.6,0.015625,0.674629788038428
2,8192,0.6,0.015625,0.674629788038428
3,8192,0.6,0.015625,0.674629788038428
4,8192,0.6,0.015625,0.674629788038428
5,8192,0.6,0.015625,0.674629788038428
1,1024,0.6,0.03125,0.673203337537485
2,1024,0.6,0.03125,0.673203337537485
3,1024,0.6,0.03125,0.673203337537485
4,1024,0.6,0.03125,0.673203337537485
5,1024,0.6,0.03125,0.673203337537485
1,2048,0.6,0.03125,0.672834968516646
2,2048,0.6,0.03125,0.672834968516646
3,2048,0.6,0.03125,0.672834968516646
4,2048,0.6,0.03125,0.672834968516646
5,2048,0.6,0.03125,0.672834968516646
1,4096,0.6,0.03125,0.671914850352648
2,4096,0.6,0.03125,0.671914850352648
3,4096,0.6,0.03125,0.671914850352648
4,4096,0.6,0.03125,0.671914850352648
5,4096,0.6,0.03125,0.671914850352648
1,8192,0.6,0.03125,0.671410139441782
2,8192,0.6,0.03125,0.671410139441782
3,8192,0.6,0.03125,0.671410139441782
4,8192,0.6,0.03125,0.671410139441782
5,8192,0.6,0.03125,0.671410139441782
