"lag","cost","nu","gamma","corr_pred"
3,64,0.6,0.125,0.626733942103972
4,64,0.6,0.125,0.626733942103972
5,64,0.6,0.125,0.626733942103972
1,64,0.9,0.25,0.626544209042044
2,64,0.9,0.25,0.626544209042044
3,64,0.9,0.25,0.626544209042044
4,64,0.9,0.25,0.626544209042044
5,64,0.9,0.25,0.626544209042044
1,16,0.9,0.25,0.626042652461124
2,16,0.9,0.25,0.626042652461124
3,16,0.9,0.25,0.626042652461124
4,16,0.9,0.25,0.626042652461124
5,16,0.9,0.25,0.626042652461124
1,8,0.8,0.0625,0.626031184416635
2,8,0.8,0.0625,0.626031184416635
3,8,0.8,0.0625,0.626031184416635
4,8,0.8,0.0625,0.626031184416635
5,8,0.8,0.0625,0.626031184416635
1,8,0.9,0.25,0.625596373410044
2,8,0.9,0.25,0.625596373410044
3,8,0.9,0.25,0.625596373410044
4,8,0.9,0.25,0.625596373410044
5,8,0.9,0.25,0.625596373410044
1,256,0.8,0.0625,0.625552527872728
2,256,0.8,0.0625,0.625552527872728
3,256,0.8,0.0625,0.625552527872728
4,256,0.8,0.0625,0.625552527872728
5,256,0.8,0.0625,0.625552527872728
1,16,0.4,0.0625,0.625477049605671
2,16,0.4,0.0625,0.625477049605671
3,16,0.4,0.0625,0.625477049605671
4,16,0.4,0.0625,0.625477049605671
5,16,0.4,0.0625,0.625477049605671
1,64,0.9,0.125,0.625360796484565
2,64,0.9,0.125,0.625360796484565
3,64,0.9,0.125,0.625360796484565
4,64,0.9,0.125,0.625360796484565
5,64,0.9,0.125,0.625360796484565
1,32,0.9,0.25,0.625289150646029
2,32,0.9,0.25,0.625289150646029
3,32,0.9,0.25,0.625289150646029
4,32,0.9,0.25,0.625289150646029
5,32,0.9,0.25,0.625289150646029
1,32,0.5,0.125,0.625274598544058
2,32,0.5,0.125,0.625274598544058
3,32,0.5,0.125,0.625274598544058
4,32,0.5,0.125,0.625274598544058
5,32,0.5,0.125,0.625274598544058
1,512,0.5,0.0625,0.625221112439198
2,512,0.5,0.0625,0.625221112439198
3,512,0.5,0.0625,0.625221112439198
