"lag","cost","nu","gamma","corr_pred"
2,2048,0.7,0.03125,0.676304262121531
3,2048,0.7,0.03125,0.676304262121531
4,2048,0.7,0.03125,0.676304262121531
5,2048,0.7,0.03125,0.676304262121531
1,1024,0.8,0.0625,0.676292429561364
2,1024,0.8,0.0625,0.676292429561364
3,1024,0.8,0.0625,0.676292429561364
4,1024,0.8,0.0625,0.676292429561364
5,1024,0.8,0.0625,0.676292429561364
1,32,0.7,0.0625,0.676282067421087
2,32,0.7,0.0625,0.676282067421087
3,32,0.7,0.0625,0.676282067421087
4,32,0.7,0.0625,0.676282067421087
5,32,0.7,0.0625,0.676282067421087
1,64,0.9,0.03125,0.676267644490763
2,64,0.9,0.03125,0.676267644490763
3,64,0.9,0.03125,0.676267644490763
4,64,0.9,0.03125,0.676267644490763
5,64,0.9,0.03125,0.676267644490763
1,256,0.8,0.015625,0.676224958769418
2,256,0.8,0.015625,0.676224958769418
3,256,0.8,0.015625,0.676224958769418
4,256,0.8,0.015625,0.676224958769418
5,256,0.8,0.015625,0.676224958769418
1,2048,0.8,0.125,0.676196704675999
2,2048,0.8,0.125,0.676196704675999
3,2048,0.8,0.125,0.676196704675999
4,2048,0.8,0.125,0.676196704675999
5,2048,0.8,0.125,0.676196704675999
1,4096,0.7,0.03125,0.67614210016209
2,4096,0.7,0.03125,0.67614210016209
3,4096,0.7,0.03125,0.67614210016209
4,4096,0.7,0.03125,0.67614210016209
5,4096,0.7,0.03125,0.67614210016209
1,4096,0.8,0.0625,0.676115527747378
2,4096,0.8,0.0625,0.676115527747378
3,4096,0.8,0.0625,0.676115527747378
4,4096,0.8,0.0625,0.676115527747378
5,4096,0.8,0.0625,0.676115527747378
1,4,0.9,0.25,0.676099142891792
2,4,0.9,0.25,0.676099142891792
3,4,0.9,0.25,0.676099142891792
4,4,0.9,0.25,0.676099142891792
5,4,0.9,0.25,0.676099142891792
1,32,0.8,0.125,0.676063601314528
2,32,0.8,0.125,0.676063601314528
3,32,0.8,0.125,0.676063601314528
4,32,0.8,0.125,0.676063601314528
5,32,0.8,0.125,0.676063601314528
1,64,0.8,0.125,0.676018285400178
2,64,0.8,0.125,0.676018285400178
3,64,0.8,0.125,0.676018285400178
4,64,0.8,0.125,0.676018285400178
5,64,0.8,0.125,0.676018285400178
1,256,0.9,0.03125,0.675974588608572
2,256,0.9,0.03125,0.675974588608572
3,256,0.9,0.03125,0.675974588608572
4,256,0.9,0.03125,0.675974588608572
5,256,0.9,0.03125,0.675974588608572
1,1024,0.9,0.03125,0.675872153123378
2,1024,0.9,0.03125,0.675872153123378
3,1024,0.9,0.03125,0.675872153123378
4,1024,0.9,0.03125,0.675872153123378
5,1024,0.9,0.03125,0.675872153123378
1,1024,0.6,0.015625,0.675844933264856
2,1024,0.6,0.015625,0.675844933264856
3,1024,0.6,0.015625,0.675844933264856
4,1024,0.6,0.015625,0.675844933264856
5,1024,0.6,0.015625,0.675844933264856
1,128,0.6,0.03125,0.675802683374598
2,128,0.6,0.03125,0.675802683374598
3,128,0.6,0.03125,0.675802683374598
4,128,0.6,0.03125,0.675802683374598
5,128,0.6,0.03125,0.675802683374598
1,64,0.9,0.0625,0.67578489431448
2,64,0.9,0.0625,0.67578489431448
3,64,0.9,0.0625,0.67578489431448
4,64,0.9,0.0625,0.67578489431448
5,64,0.9,0.0625,0.67578489431448
1,4096,0.9,0.015625,0.675775256178669
2,4096,0.9,0.015625,0.675775256178669
3,4096,0.9,0.015625,0.675775256178669
4,4096,0.9,0.015625,0.675775256178669
5,4096,0.9,0.015625,0.675775256178669
1,512,0.9,0.03125,0.675702756595957
2,512,0.9,0.03125,0.675702756595957
3,512,0.9,0.03125,0.675702756595957
4,512,0.9,0.03125,0.675702756595957
5,512,0.9,0.03125,0.675702756595957
1,128,0.8,0.125,0.675695455403649
2,128,0.8,0.125,0.675695455403649
3,128,0.8,0.125,0.675695455403649
4,128,0.8,0.125,0.675695455403649
5,128,0.8,0.125,0.675695455403649
1,2048,0.9,0.03125,0.675667289405362
2,2048,0.9,0.03125,0.675667289405362
3,2048,0.9,0.03125,0.675667289405362
4,2048,0.9,0.03125,0.675667289405362
5,2048,0.9,0.03125,0.675667289405362
1,16,0.8,0.25,0.675665434204747
2,16,0.8,0.25,0.675665434204747
3,16,0.8,0.25,0.675665434204747
4,16,0.8,0.25,0.675665434204747
5,16,0.8,0.25,0.675665434204747
1,4,0.8,0.25,0.675631536922575
2,4,0.8,0.25,0.675631536922575
3,4,0.8,0.25,0.675631536922575
4,4,0.8,0.25,0.675631536922575
5,4,0.8,0.25,0.675631536922575
1,512,0.8,0.25,0.675590788010528
2,512,0.8,0.25,0.675590788010528
3,512,0.8,0.25,0.675590788010528
4,512,0.8,0.25,0.675590788010528
5,512,0.8,0.25,0.675590788010528
1,32,0.9,0.125,0.675588522626002
2,32,0.9,0.125,0.675588522626002
3,32,0.9,0.125,0.675588522626002
4,32,0.9,0.125,0.675588522626002
5,32,0.9,0.125,0.675588522626002
1,2048,0.9,0.015625,0.675583733524789
2,2048,0.9,0.015625,0.675583733524789
3,2048,0.9,0.015625,0.675583733524789
4,2048,0.9,0.015625,0.675583733524789
5,2048,0.9,0.015625,0.675583733524789
1,4096,0.9,0.03125,0.675515447954332
2,4096,0.9,0.03125,0.675515447954332
3,4096,0.9,0.03125,0.675515447954332
4,4096,0.9,0.03125,0.675515447954332
5,4096,0.9,0.03125,0.675515447954332
1,32,0.9,0.015625,0.675464156536159
2,32,0.9,0.015625,0.675464156536159
3,32,0.9,0.015625,0.675464156536159
4,32,0.9,0.015625,0.675464156536159
5,32,0.9,0.015625,0.675464156536159
1,8,0.7,0.25,0.675443744819552
2,8,0.7,0.25,0.675443744819552
3,8,0.7,0.25,0.675443744819552
4,8,0.7,0.25,0.675443744819552
5,8,0.7,0.25,0.675443744819552
1,16,0.7,0.03125,0.675402603351834
2,16,0.7,0.03125,0.675402603351834
3,16,0.7,0.03125,0.675402603351834
4,16,0.7,0.03125,0.675402603351834
5,16,0.7,0.03125,0.675402603351834
1,1024,0.7,0.0625,0.675402348385161
2,1024,0.7,0.0625,0.675402348385161
3,1024,0.7,0.0625,0.675402348385161
4,1024,0.7,0.0625,0.675402348385161
5,1024,0.7,0.0625,0.675402348385161
1,8,0.7,0.125,0.675397115819994
2,8,0.7,0.125,0.675397115819994
3,8,0.7,0.125,0.675397115819994
4,8,0.7,0.125,0.675397115819994
5,8,0.7,0.125,0.675397115819994
1,256,0.8,0.125,0.675370367983152
2,256,0.8,0.125,0.675370367983152
3,256,0.8,0.125,0.675370367983152
4,256,0.8,0.125,0.675370367983152
5,256,0.8,0.125,0.675370367983152
1,32,0.7,0.015625,0.675282025137957
2,32,0.7,0.015625,0.675282025137957
3,32,0.7,0.015625,0.675282025137957
4,32,0.7,0.015625,0.675282025137957
5,32,0.7,0.015625,0.675282025137957
1,1024,0.8,0.25,0.675224728469865
2,1024,0.8,0.25,0.675224728469865
3,1024,0.8,0.25,0.675224728469865
4,1024,0.8,0.25,0.675224728469865
5,1024,0.8,0.25,0.675224728469865
1,1024,0.8,0.125,0.675220765079418
2,1024,0.8,0.125,0.675220765079418
3,1024,0.8,0.125,0.675220765079418
4,1024,0.8,0.125,0.675220765079418
5,1024,0.8,0.125,0.675220765079418
1,2048,0.7,0.0625,0.675206989515033
2,2048,0.7,0.0625,0.675206989515033
3,2048,0.7,0.0625,0.675206989515033
4,2048,0.7,0.0625,0.675206989515033
5,2048,0.7,0.0625,0.675206989515033
1,256,0.6,0.03125,0.675181437163967
2,256,0.6,0.03125,0.675181437163967
3,256,0.6,0.03125,0.675181437163967
4,256,0.6,0.03125,0.675181437163967
5,256,0.6,0.03125,0.675181437163967
1,4096,0.6,0.015625,0.675167703820973
2,4096,0.6,0.015625,0.675167703820973
3,4096,0.6,0.015625,0.675167703820973
4,4096,0.6,0.015625,0.675167703820973
5,4096,0.6,0.015625,0.675167703820973
1,128,0.9,0.0625,0.67516326908836
2,128,0.9,0.0625,0.67516326908836
3,128,0.9,0.0625,0.67516326908836
4,128,0.9,0.0625,0.67516326908836
5,128,0.9,0.0625,0.67516326908836
1,32,0.8,0.25,0.675132187819711
2,32,0.8,0.25,0.675132187819711
3,32,0.8,0.25,0.675132187819711
4,32,0.8,0.25,0.675132187819711
5,32,0.8,0.25,0.675132187819711
1,512,0.7,0.0625,0.675096790932154
2,512,0.7,0.0625,0.675096790932154
3,512,0.7,0.0625,0.675096790932154
4,512,0.7,0.0625,0.675096790932154
5,512,0.7,0.0625,0.675096790932154
1,256,0.8,0.25,0.675095534884337
2,256,0.8,0.25,0.675095534884337
3,256,0.8,0.25,0.675095534884337
4,256,0.8,0.25,0.675095534884337
5,256,0.8,0.25,0.675095534884337
1,4,0.9,0.125,0.675093275265978
2,4,0.9,0.125,0.675093275265978
3,4,0.9,0.125,0.675093275265978
4,4,0.9,0.125,0.675093275265978
5,4,0.9,0.125,0.675093275265978
