"lag","cost","nu","gamma","corr_pred"
5,4,0.6,0.015625,0.57378398261255
1,1,0.5,0.03125,0.573611761665476
2,1,0.5,0.03125,0.573611761665476
3,1,0.5,0.03125,0.573611761665476
4,1,0.5,0.03125,0.573611761665476
5,1,0.5,0.03125,0.573611761665476
1,1,0.7,0.03125,0.573393006905902
2,1,0.7,0.03125,0.573393006905902
3,1,0.7,0.03125,0.573393006905902
4,1,0.7,0.03125,0.573393006905902
5,1,0.7,0.03125,0.573393006905902
1,4,0.9,0.015625,0.573369493148254
2,4,0.9,0.015625,0.573369493148254
3,4,0.9,0.015625,0.573369493148254
4,4,0.9,0.015625,0.573369493148254
5,4,0.9,0.015625,0.573369493148254
1,2,0.6,0.03125,0.573089266877965
2,2,0.6,0.03125,0.573089266877965
3,2,0.6,0.03125,0.573089266877965
4,2,0.6,0.03125,0.573089266877965
5,2,0.6,0.03125,0.573089266877965
1,2,0.4,0.015625,0.572864092263769
2,2,0.4,0.015625,0.572864092263769
3,2,0.4,0.015625,0.572864092263769
4,2,0.4,0.015625,0.572864092263769
5,2,0.4,0.015625,0.572864092263769
1,1,0.6,0.03125,0.572447945920319
2,1,0.6,0.03125,0.572447945920319
3,1,0.6,0.03125,0.572447945920319
4,1,0.6,0.03125,0.572447945920319
5,1,0.6,0.03125,0.572447945920319
1,16,0.9,0.015625,0.571999149976876
2,16,0.9,0.015625,0.571999149976876
3,16,0.9,0.015625,0.571999149976876
4,16,0.9,0.015625,0.571999149976876
5,16,0.9,0.015625,0.571999149976876
1,2,0.4,0.03125,0.571138965755589
2,2,0.4,0.03125,0.571138965755589
3,2,0.4,0.03125,0.571138965755589
4,2,0.4,0.03125,0.571138965755589
5,2,0.4,0.03125,0.571138965755589
1,1,0.8,0.03125,0.571121124424972
2,1,0.8,0.03125,0.571121124424972
3,1,0.8,0.03125,0.571121124424972
4,1,0.8,0.03125,0.571121124424972
5,1,0.8,0.03125,0.571121124424972
1,1,0.4,0.03125,0.5710274885631
2,1,0.4,0.03125,0.5710274885631
3,1,0.4,0.03125,0.5710274885631
4,1,0.4,0.03125,0.5710274885631
5,1,0.4,0.03125,0.5710274885631
1,4,0.4,0.03125,0.570836504049878
2,4,0.4,0.03125,0.570836504049878
3,4,0.4,0.03125,0.570836504049878
4,4,0.4,0.03125,0.570836504049878
5,4,0.4,0.03125,0.570836504049878
1,2,0.7,0.03125,0.570602846533913
2,2,0.7,0.03125,0.570602846533913
3,2,0.7,0.03125,0.570602846533913
4,2,0.7,0.03125,0.570602846533913
5,2,0.7,0.03125,0.570602846533913
1,4,0.1,0.015625,0.57059483755127
2,4,0.1,0.015625,0.57059483755127
3,4,0.1,0.015625,0.57059483755127
4,4,0.1,0.015625,0.57059483755127
5,4,0.1,0.015625,0.57059483755127
1,2,0.8,0.015625,0.570562424023667
2,2,0.8,0.015625,0.570562424023667
3,2,0.8,0.015625,0.570562424023667
4,2,0.8,0.015625,0.570562424023667
5,2,0.8,0.015625,0.570562424023667
1,2,0.7,0.015625,0.570144580346655
2,2,0.7,0.015625,0.570144580346655
3,2,0.7,0.015625,0.570144580346655
4,2,0.7,0.015625,0.570144580346655
5,2,0.7,0.015625,0.570144580346655
1,2,0.5,0.015625,0.569888361624248
2,2,0.5,0.015625,0.569888361624248
3,2,0.5,0.015625,0.569888361624248
4,2,0.5,0.015625,0.569888361624248
5,2,0.5,0.015625,0.569888361624248
1,2,0.9,0.015625,0.569668520001615
2,2,0.9,0.015625,0.569668520001615
3,2,0.9,0.015625,0.569668520001615
4,2,0.9,0.015625,0.569668520001615
5,2,0.9,0.015625,0.569668520001615
1,0.5,0.4,0.03125,0.569160277613056
2,0.5,0.4,0.03125,0.569160277613056
3,0.5,0.4,0.03125,0.569160277613056
4,0.5,0.4,0.03125,0.569160277613056
5,0.5,0.4,0.03125,0.569160277613056
1,2,0.8,0.03125,0.569067536664278
2,2,0.8,0.03125,0.569067536664278
3,2,0.8,0.03125,0.569067536664278
4,2,0.8,0.03125,0.569067536664278
5,2,0.8,0.03125,0.569067536664278
1,2,0.9,0.03125,0.568745014267903
2,2,0.9,0.03125,0.568745014267903
3,2,0.9,0.03125,0.568745014267903
4,2,0.9,0.03125,0.568745014267903
5,2,0.9,0.03125,0.568745014267903
